CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2022-24737,"HTTPie is a command-line HTTP client. HTTPie has the practical concept of sessions, which help users to persistently store some of the state that belongs to the outgoing requests and incoming responses on the disk for further usage. Before 3.1.0, HTTPie didn‘t distinguish between cookies and hosts they belonged. This behavior resulted in the exposure of some cookies when there are redirects originating from the actual host to a third party website. Users are advised to upgrade. There are no known workarounds.",,didnâ€˜t distinguish between cookies and hosts they belonged. ... exposure of some cookies when there are redirects ... to a third party website,,,exposure of some cookies,redirects,,HTTPie,before 3.1.0,,"redirects, there, website, are, third, belonged, distinguish, hosts, they, didnâ, t, to, party, when, between, and, a",nan
CVE-2022-24742,"Sylius is an open source eCommerce platform. Prior to versions 1.9.10, 1.10.11, and 1.11.2, any other user can view the data if browser tab remains unclosed after log out. The issue is fixed in versions 1.9.10, 1.10.11, and 1.11.2. A workaround is available. The application must strictly redirect to login page even browser back button is pressed. Another possibility is to set more strict cache policies for restricted content.",,"Once someone logs out and leaves the browser open, the potential attacker may use the back button to see the content exposed on given screens",,,view the data if browser tab remains unclosed after log out,,,Sylius,prior to 1.9.10|1.10.11|1.11.2,,"screens, may, see, open, exposed, leaves, use, logs, once, button, given, and, someone, potential, content, on, to, attacker, back","unclosed, log, view, data, tab, nan, if, remains, after"
CVE-2022-24747,Shopware is an open commerce platform based on the Symfony php Framework and the Vue javascript framework. Affected versions of shopware do no properly set sensitive HTTP headers to be non-cacheable. If there is an HTTP cache between the server and client then headers may be exposed via HTTP caches. This issue has been resolved in version 6.4.8.2. There are no known workarounds.,,do no properly set sensitive HTTP headers to be non-cacheable,,,headers may be exposed via HTTP caches,,,Shopware,prior to 6.4.8.2,,"sensitive, no, to, set, do, cacheable, properly, non","may, nan, exposed, caches, via"
CVE-2022-24762,sysend.js is a library that allows a user to send messages between pages that are open in the same browser. Users that use cross-origin communication may have their communications intercepted. Impact is limited by the communication occurring in the same browser. This issue has been patched in sysend.js version 1.10.0. The only currently known workaround is to avoid sending communications that a user does not want to have intercepted via sysend messages.,,Users that use cross-origin communication may have their communications intercepted,,,communications intercepted,,,sysend.js,prior to 1.10.0,,"communication, their, use, have, that, origin, may, cross, users",nan
CVE-2022-24782,"Discourse is an open source discussion platform. Versions 2.8.2 and prior in the `stable` branch, 2.9.0.beta3 and prior in the `beta` branch, and 2.9.0.beta3 and prior in the `tests-passed` branch are vulnerable to a data leak. Users can request an export of their own activity. Sometimes, due to category settings, they may have category membership for a secure category. The name of this secure category is shown to the user in the export. The same thing occurs when the user's post has been moved to a secure category. A patch for this issue is available in the `main` branch of Discourse's GitHub repository and is anticipated to be part of future releases.",,Secure category names leaked via user activity export,,,secure category name is shown to the user,,,Discourse,2.8.2 and prior|2.9.0.beta3 and prior,,"export, names, via, activity, leaked","shown, name, nan, to, is, the"
CVE-2022-24797,"Pomerium is an identity-aware access proxy. In distributed service mode, Pomerium's Authenticate service exposes pprof debug and prometheus metrics handlers to untrusted traffic. This can leak potentially sensitive environmental information or lead to limited denial of service conditions. This issue is patched in version v0.17.1 Workarounds: Block access to `/debug` and `/metrics` paths on the authenticate service. This can be done with any L7 proxy, including Pomerium's own proxy service.",,exposes pprof debug and prometheus metrics handlers to untrusted traffic,,,leak potentially sensitive environmental information,,,Pomerium,prior to v0.17.1,Authenticate service,"handlers, to, untrusted, debug, exposes, traffic, and, metrics, prometheus, pprof","potentially, sensitive, leak, information, environmental, nan"
CVE-2022-24820,"XWiki Platform is a generic wiki platform offering runtime services for applications built on top of it. A guest user without the right to view pages of the wiki can still list documents by rendering some velocity documents. The problem has been patched in XWiki versions 12.10.11, 13.4.4, and 13.9-rc-1. There is no known workaround for this problem.",,retrieve the list of users through a public accessible URL,,,list documents,rendering some velocity documents,guest user without the right to view pages,XWiki Platform,prior to 12.10.11|13.4.4|13.9-rc-1,,"of, a, retrieve, through, public, users, accessible, url, the","nan, documents"
CVE-2022-24850,"Discourse is an open source platform for community discussion. A category's group permissions settings can be viewed by anyone that has access to the category. As a result, a normal user is able to see whether a group has read/write permissions in the category even though the information should only be available to the users that can manage a category. This issue is patched in the latest stable, beta and tests-passed versions of Discourse. There are no workarounds for this problem.",,group permissions settings can be viewed by anyone that has access to the category,,,see whether a group has read/write permissions,,,Discourse,,,"can, category, that, by, settings, to, access, viewed, be, anyone, the","read, whether, nan, see, a, write"
CVE-2022-24866,"Discourse Assign is a plugin for assigning users to a topic in Discourse, an open-source messaging platform. Prior to version 1.0.1, the UserBookmarkSerializer serialized the whole User / Group object, which leaked some private information. The data was only being serialized to people who could view assignment info, which is limited to staff by default. For the vast majority of sites, this data was only leaked to trusted staff member, but for sites with assign features enabled publicly, the data was accessible to more people than just staff. Version 1.0.1 contains a patch. There are currently no known workarounds.",,serialized the whole User / Group object which leaked some private information.,,,leaked some private information,,,Discourse Assign,prior to 1.0.1,UserBookmarkSerializer,"object, serialized, user, which, group, whole, the",nan
CVE-2022-24906,"Nextcloud Deck is a Kanban-style project & personal management tool for Nextcloud, similar to Trello. The full path of the application is exposed to unauthorized users. It is recommended that the Nextcloud Deck app is upgraded to 1.2.11, 1.4.6, or 1.5.4. There is no workaround available.",,An error in deck cards when deleting an attachment reveals the full path of the website [in the response],,,full path of the application is exposed,,,Nextcloud Deck,prior to 1.2.11|1.4.6|1.5.4,,"attachment, cards, error, website, response, in, deleting, deck, when, reveals, an","nan, application, exposed, is"
CVE-2022-25245,Zoho ManageEngine ServiceDesk Plus before 13001 allows anyone to know the organisation's default currency name.,,action does not require authentication,,,know the organisation's default currency name,,,Zoho ManageEngine ServiceDesk Plus,before 13001,,"not, authentication, does, action, require","s, know, name, nan, organisation, default, currency, the"
CVE-2022-25248,When connecting to a certain port Axeda agent (All versions) and Axeda Desktop Server for Windows (All versions) supplies the event log of the specific service.,,when connecting to a certain port the affected product supplies the event log of the specific service,,,supplies the event log of the specific service,,,Axeda agent|Axeda Desktop Server for Windows,All versions,,"affected, connecting, certain, to, port, when, product, a",nan
CVE-2022-25512,FreeTAKServer-UI v1.9.8 was discovered to leak sensitive API and Websocket keys.,,The WebUI leaks the RestAPI and Websocket tokens in the javascript source code,,,leak sensitive API and Websocket keys,,,FreeTAKServer-UI,v1.9.8,,"webui, restapi, in, javascript, source, tokens, leaks, code, the","sensitive, leak, keys, nan, api"
CVE-2022-25568,"MotionEye v0.42.1 and below allows attackers to access sensitive information via a GET request to /config/list. To exploit this vulnerability, a regular user password must be unconfigured.",CWE-1188->CWE-1390,Lack of a default user password ... If a ,,,access sensitive information,GET request to /config/list,,MotionEye,v0.42.1 and below,,"lack, of, if, user, password, default, a","nan, sensitive, access, information"
CVE-2022-2558,The Simple Job Board WordPress plugin before 2.10.0 is susceptible to Directory Listing which allows the public listing of uploaded resumes in certain configurations.,,susceptible to Directory Listing,,,public listing of uploaded resumes,,,Simple Job Board WordPress plugin,before 2.10.0,,"to, susceptible, directory","uploaded, of, resumes, nan, public"
CVE-2022-25664,"Information disclosure due to exposure of information while GPU reads the data in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,Currently cache flush is not done for these pages and hence GPU sees stale data,,,exposure of information,,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Wearables,,,"pages, sees, hence, not, stale, flush, for, cache, data, currently, done, is, and, these, gpu","nan, of, information, exposure"
CVE-2022-25787,Information Exposure Through Query Strings in GET Request vulnerability in LMM API of Secomea GateManager allows system administrator to hijack connection. This issue affects: Secomea GateManager all versions prior to 9.7.,,Information Exposure Through Query Strings in GET Request vulnerability,Information Exposure,,hijack connection,,,Secomea GateManager,all versions prior to 9.7,LMM API,"get, information, request, through, exposure, in, strings, query, ","nan, hijack, connection"
CVE-2022-25823,Information Exposure vulnerability in Galaxy Watch Plugin prior to version 2.2.05.220126741 allows attackers to access user information in log.,,Information Exposure vulnerability... allows ... access user information in log,Information Exposure,,access user information in log,,,Galaxy Watch Plugin,prior to version 2.2.05.220126741,,,nan
CVE-2022-25826,Information Exposure vulnerability in Galaxy S3 Plugin prior to version 2.2.03.22012751 allows attacker to access password information of connected WiFiAp in the log,,Information Exposure vulnerability... access password information... in the log,Information Exposure,,access password information of connected WiFiAp in the log,,,Galaxy S3 Plugin,prior to version 2.2.03.22012751,,,"nan, of, wifiap, connected"
CVE-2022-25827,Information Exposure vulnerability in Galaxy Watch Plugin prior to version 2.2.05.22012751 allows attacker to access password information of connected WiFiAp in the log,,Information Exposure vulnerability... access password information... in the log,Information Exposure,,access password information of connected WiFiAp in the log,,,Galaxy Watch Plugin,prior to version 2.2.05.22012751,,,"nan, of, wifiap, connected"
CVE-2022-25828,Information Exposure vulnerability in Watch Active Plugin prior to version 2.2.07.22012751 allows attacker to access password information of connected WiFiAp in the log,,Information Exposure vulnerability... access password information... in the log,Information Exposure,,access password information of connected WiFiAp in the log,,,Watch Active Plugin,prior to version 2.2.07.22012751,,,"nan, of, wifiap, connected"
CVE-2022-25829,Information Exposure vulnerability in Watch Active2 Plugin prior to version 2.2.08.22012751 allows attacker to access password information of connected WiFiAp in the log,,Information Exposure vulnerability... access password information... in the log,Information Exposure,,access password information of connected WiFiAp in the log,,,Watch Active2 Plugin,prior to version 2.2.08.22012751,,,"nan, of, wifiap, connected"
CVE-2022-25830,Information Exposure vulnerability in Galaxy Watch3 Plugin prior to version 2.2.09.22012751 allows attacker to access password information of connected WiFiAp in the log,,Information Exposure vulnerability... access password information... in the log,Information Exposure,,access password information of connected WiFiAp in the log,,,Galaxy Watch3 Plugin,prior to version 2.2.09.22012751,,,"nan, of, wifiap, connected"
CVE-2022-25990,"On 1.0.x versions prior to 1.0.1, systems running F5OS-A software may expose certain registry ports externally. Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated",,This issue has been classified as CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,,,expose certain registry ports externally,,,F5OS-A software,1.0.x versions prior to 1.0.1,,"200, actor, sensitive, classified, of, has, information, unauthorized, been, exposure, to, cwe, an, this, as, issue","ports, certain, registry, nan, externally, expose"
CVE-2022-26365,"Linux disk/nic frontends data leaks T[his CNA information record relates to multiple CVEs; the text explains which aspects/vulnerabilities correspond to which CVE.] Linux Block and Network PV device frontends don't zero memory regions before sharing them with the backend (CVE-2022-26365, CVE-2022-33740). Additionally the granularity of the grant table doesn't allow sharing less than a 4K page, leading to unrelated data residing in the same 4K page as data shared with a backend being accessible by such backend (CVE-2022-33741, CVE-2022-33742).",,Linux Block and Network PV device frontends don't zero memory regions before sharing them with the backend,,,data leaks,,,Linux Block and Network PV device frontends,,,"memory, linux, before, pv, t, with, and, frontends, sharing, them, the, zero, regions, network, block, don, backend, device","nan, data, leaks"
CVE-2022-26591,FANTEC GmbH MWiD25-DS Firmware v2.000.030 allows unauthenticated attackers to access and download arbitrary files via a crafted GET request.,,"The session cookie is not verified for GET requests, thus can be omitted.",,,access and download arbitrary files,crafted GET request,unauthenticated attackers,FANTEC GmbH MWiD25-DS,Firmware v2.000.030,,"can, requests, thus, not, get, for, omitted, verified, cookie, is, session, be, the","files, download, nan, access, and, arbitrary"
CVE-2022-27192,The Reporting module in Aseco Lietuva document management system DVS Avilys before 3.5.58 allows unauthorized file download. An unauthenticated attacker can impersonate an administrator by reading administrative files.,CWE-532->CWE-522,Application log files include session tokens,,,unauthorized file download,,,Aseco Lietuva document management system DVS Avilys,before 3.5.58,Reporting module,"include, files, log, tokens, session, application","nan, file, unauthorized, download"
CVE-2022-27241,"A vulnerability has been identified in Mendix Applications using Mendix 7 (All versions < V7.23.31), Mendix Applications using Mendix 8 (All versions < V8.18.18), Mendix Applications using Mendix 9 (All versions < V9.11), Mendix Applications using Mendix 9 (V9.6) (All versions < V9.6.12). Applications built with an affected system publicly expose the internal project structure. This could allow an unauthenticated remote attacker to read confidential information.",,expose the internal project structure,,,read confidential information,,,Mendix Applications,using Mendix 7 (All versions < V7.23.31)|Mendix 8 (All versions < V8.18.18)|Mendix 9 (All versions < V9.11)|Mendix 9 (V9.6) (All versions < V9.6.12),,"internal, expose, structure, project, the","nan, read, confidential, information"
CVE-2022-2739,"The version of podman as released for Red Hat Enterprise Linux 7 Extras via RHSA-2022:2190 advisory included an incorrect version of podman missing the fix for CVE-2020-14370, which was previously fixed via RHSA-2020:5056. This issue could possibly allow an attacker to gain access to sensitive information stored in environment variables.",,sensitive information stored in environment variables,,,gain access to sensitive information stored in environment variables,,,podman,as released for Red Hat Enterprise Linux 7 Extras via RHSA-2022:2190 advisory,,,"nan, to, access, gain"
CVE-2022-27614,Exposure of sensitive information to an unauthorized actor vulnerability in web server in Synology Media Server before 1.8.1-2876 allows remote attackers to obtain sensitive information via unspecified vectors.,,Exposure of sensitive information to an unauthorized actor vulnerability,,,obtain sensitive information,,,Synology Media Server,before 1.8.1-2876,web server,"actor, of, unauthorized, exposure, to, , an","nan, obtain"
CVE-2022-27630,An information disclosure vulnerability exists in the confctl_get_master_wlan functionality of TCL LinkHub Mesh Wi-Fi MS1G_00_01.00_14. A specially-crafted network packet can lead to information disclosure. An attacker can send packets to trigger this vulnerability.,CWE-201->CWE-522,wlan_get_master_cfg retrieves sensitive data to send back as a response...include the SSID and password in plaintext,,,information disclosure,specially-crafted network packet,,TCL LinkHub Mesh Wi-Fi,MS1G_00_01.00_14,confctl_get_master_wlan functionality,"send, back, sensitive, data, response, retrieves, in, the, wlan_get_master_cfg, include, plaintext, to, ssid, password, and, a, as","nan, information, disclosure"
CVE-2022-27633,An information disclosure vulnerability exists in the confctl_get_guest_wlan functionality of TCL LinkHub Mesh Wifi MS1G_00_01.00_14. A specially-crafted network packet can lead to information disclosure. An attacker can send packets to trigger this vulnerability.,CWE-201->CWE-522,wlan_get_master_cfg retrieves sensitive data to send back as a response...include the SSID and password in plaintext,,,information disclosure,specially-crafted network packet,,TCL LinkHub Mesh Wifi,MS1G_00_01.00_14,confctl_get_guest_wlan functionality,"send, back, sensitive, data, response, retrieves, in, the, wlan_get_master_cfg, include, plaintext, to, ssid, password, and, a, as","nan, information, disclosure"
CVE-2022-27667,"Under certain conditions, SAP BusinessObjects Business Intelligence platform, Client Management Console (CMC) - version 430, allows an attacker to access information which would otherwise be restricted, leading to Information Disclosure.",,,access information which would otherwise be restricted,,Information Disclosure,,,SAP BusinessObjects Business Intelligence platform,430,Client Management Console (CMC),,"otherwise, nan, restricted, access, would, which, be"
CVE-2022-27849,Sensitive Information Disclosure (sac-export.csv) in Simple Ajax Chat (WordPress plugin) <= 20220115,,Sensitive Information Disclosure,,,Sensitive Information Disclosure,,,Simple Ajax Chat,<= 20220115,sac-export.csv,,nan
CVE-2022-27875,"On F5 Access for Android 3.x versions prior to 3.0.8, a Task Hijacking vulnerability exists in the F5 Access for Android application, which may allow an attacker to steal sensitive user information. Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated",,The malicious application may then masquerade as the legitimate application in order to steal sensitive information,,,steal sensitive user information,,,F5 Access for Android,3.x versions prior to 3.0.8,,"then, in, may, to, malicious, masquerade, order, legitimate, application, as, the","nan, user"
CVE-2022-27891,Palantir Gotham included an unauthenticated endpoint that listed all active usernames on the stack with an active session. The affected services have been patched and automatically deployed to all Apollo-managed Gotham instances. It is highly recommended that customers upgrade all affected services to the latest version. This issue affects: Palantir Gotham versions prior to 103.30221005.0.,CWE-306->CWE-201,unauthenticated endpoint...listed all active usernames on the stack with an active session,,,listed all active usernames on the stack with an active session,,,Palantir Gotham,versions prior to 103.30221005.0,,"unauthenticated, endpoint",nan
CVE-2022-2834,"The Helpful WordPress plugin before 4.5.26 puts the exported logs and feedbacks in a publicly accessible location and guessable names, which could allow attackers to download them and retrieve sensitive information such as IP, Names and Email Address depending on the plugin's settings",,exported logs and feedbacks in a publicly accessible location and guessable names,,,download logs and feedbacks and retrieve sensitive information,,,Helpful WordPress plugin,before 4.5.26,,"location, a, guessable, in, names, exported, accessible, publicly","sensitive, download, information, retrieve, nan"
CVE-2022-2891,"The WP 2FA WordPress plugin before 2.3.0 uses comparison operators that don't mitigate time-based attacks, which could be abused to leak information about the authentication codes being compared.",,uses comparison operators...don't mitigate time-based attacks,,,leak information about the authentication codes,,,WP 2FA WordPress plugin,before 2.3.0,,"operators, based, attacks, uses, don, t, time, comparison, mitigate","about, leak, authentication, information, nan, codes, the"
CVE-2022-29071,"This advisory documents an internally found vulnerability in the on premises deployment model of Arista CloudVision Portal (CVP) where under a certain set of conditions, user passwords can be leaked in the Audit and System logs. The impact of this vulnerability is that the CVP user login passwords might be leaked to other authenticated users.",,user passwords can be leaked in the Audit and System logs,,,user passwords can be leaked in the Audit and System logs,,,Arista CloudVision Portal (CVP),,,,nan
CVE-2022-29232,"BigBlueButton is an open source web conferencing system. Starting with version 2.2 and prior to versions 2.3.9 and 2.4-beta-1, an attacker can circumvent access controls to obtain the content of public chat messages from different meetings on the server. The attacker must be a participant in a meeting on the server. BigBlueButton versions 2.3.9 and 2.4-beta-1 contain a patch for this issue. There are currently no known workarounds.",,Exposure of messages in public chats...content of public chat messages from different meetings on the server,,,obtain the content of public chat messages from different meetings,,,BigBlueButton,2.2 to prior to 2.3.9 and 2.4-beta-1,,"chats, server, on, in, exposure","nan, obtain"
CVE-2022-29235,"BigBlueButton is an open source web conferencing system. Starting in version 2.2 and prior to versions 2.3.18 and 2.4-rc-6, an attacker who is able to obtain the meeting identifier for a meeting on a server can find information related to an external video being shared, like the current timestamp and play/pause. The problem has been patched in versions 2.3.18 and 2.4-rc-6 by modifying the stream to send the data only for users in the meeting. There are currently no known workarounds.",,Adds meetingId verification in external video streamer to prevent subscriptions from users that are not in the meeting,,,find information related to an external video being shared,,,BigBlueButton,2.2 to prior to 2.3.18 and 2.4-rc-6,,"from, adds, meeting, streamer, not, subscriptions, that, meetingid, are, in, users, prevent, verification, the","find, information, shared, related, nan, an, being"
CVE-2022-29244,"npm pack ignores root-level .gitignore and .npmignore file exclusion directives when run in a workspace or with a workspace flag (ie. `--workspaces`, `--workspace=<name>`). Anyone who has run `npm pack` or `npm publish` inside a workspace, as of v7.9.0 and v7.13.0 respectively, may be affected and have published files into the npm registry they did not intend to include. Users should upgrade to the latest, patched version of npm v8.11.0, run: npm i -g npm@latest . Node.js versions v16.15.1, v17.19.1, and v18.3.0 include the patched v8.11.0 version of npm.",,,,,published files into the npm registry they did not intend to include,,,npm,v7.9.0 and v7.13.0,npm pack,,"into, include, files, not, registry, they, npm, to, published, did, intend, the"
CVE-2022-29248,"Guzzle is a PHP HTTP client. Guzzle prior to versions 6.5.6 and 7.4.3 contains a vulnerability with the cookie middleware. The vulnerability is that it is not checked if the cookie domain equals the domain of the server which sets the cookie via the Set-Cookie header, allowing a malicious server to set cookies for unrelated domains. The cookie middleware is disabled by default, so most library consumers will not be affected by this issue. Only those who manually add the cookie middleware to the handler stack or construct the client with ['cookies' => true] are affected. Moreover, those who do not use the same Guzzle client to call multiple domains and have disabled redirect forwarding are not affected by this vulnerability. Guzzle versions 6.5.6 and 7.4.3 contain a patch for this issue. As a workaround, turn off the cookie middleware.",,it is not checked if the cookie domain equals the domain of the server,,,set cookies for unrelated domains,,,Guzzle,prior to 6.5.6 and 7.4.3,cookie middleware,"not, it, checked, equals, of, server, if, cookie, domain, is, the","unrelated, cookies, for, nan, set, domains"
CVE-2022-2939,"The WP Cerber Security plugin for WordPress is vulnerable to security protection bypass in versions up to, and including 9.0, that makes user enumeration possible. This is due to improper validation on the value supplied through the 'author' parameter found in the ~/cerber-load.php file. In vulnerable versions, the plugin only blocks requests if the value supplied is numeric, making it possible for attackers to supply additional non-numeric characters to bypass the protection. The non-numeric characters are stripped and the user requested is displayed. This can be used by unauthenticated attackers to gather information about users that can targeted in further attacks.",,improper validation on the value supplied through the 'author' parameter found in the ~/cerber-load.php file,,,user enumeration,author parameter,unauthenticated attackers,WP Cerber Security plugin for WordPress,up to and including 9.0,,"found, value, through, on, improper, validation, in, php, cerber, supplied, file, parameter, author, load, the","nan, user, enumeration"
CVE-2022-29567,"The default configuration of a TreeGrid component uses Object::toString as a key on the client-side and server communication in Vaadin 14.8.5 through 14.8.9, 22.0.6 through 22.0.14, 23.0.0.beta2 through 23.0.8 and 23.1.0.alpha1 through 23.1.0.alpha4, resulting in potential information disclosure of values that should not be available on the client-side.",,uses Object::toString as a key on the client-side...information disclosure...should not be available on the client-side,,,potential information disclosure of values,,,Vaadin,14.8.5 through 14.8.9|22.0.6 through 22.0.14|23.0.0.beta2 through 23.0.8|23.1.0.alpha1 through 23.1.0.alpha4,TreeGrid component,"object, key, not, should, uses, on, side, client, tostring, be, a, as, available, the","nan, of, values, potential"
CVE-2022-29900,Mis-trained branch predictions for return instructions may allow arbitrary speculative code execution under certain microarchitecture-dependent conditions.,,Mis-trained branch predictions for return instructions may allow arbitrary speculative code execution under certain microarchitecture-dependent conditions,,,arbitrary speculative code execution,,,,,,"predictions, instructions, under, return, trained, certain, mis, for, may, dependent, allow, microarchitecture, conditions, branch",nan
CVE-2022-30556,Apache HTTP Server 2.4.53 and earlier may return lengths to applications calling r:wsread() that point past the end of the storage allocated for the buffer.,CWE-130->CWE-805,may return lengths to applications calling r:wsread() that point past the end of the storage allocated for the buffer,,return lengths that point past the end of the storage allocated for the buffer,,,,Apache HTTP Server,2.4.53 and earlier,r:wsread(),"wsread, r, applications, may, to, calling",nan
CVE-2022-30625,Directory listing is a web server function that displays the directory contents when there is no index file in a specific website directory. A directory listing provides an attacker with the complete index of all the resources located inside of the directory. The specific risks and consequences vary depending on which files are listed and accessible.,,A directory listing provides an attacker with the complete index of all the resources located inside of the directory,,,complete index of all the resources located inside of the directory,,,,,,,nan
CVE-2022-30693,Information disclosure vulnerability in the system configuration of Cybozu Office 10.0.0 to 10.8.5 allows a remote attacker to obtain the data of the product via unspecified vectors.,,Information disclosure vulnerability,,,obtain the data of the product,,,Cybozu Office,10.0.0 to 10.8.5,system configuration,"information, disclosure, ","of, data, nan, product, obtain, the"
CVE-2022-3091,"RONDS EPM version 1.19.5 has a vulnerability in which a function could allow unauthenticated users to leak credentials. In some circumstances, an attacker can exploit this vulnerability to execute operating system (OS) commands. ",,vulnerability in which a function could allow unauthenticated users to leak credentials,,,leak credentials,,,RONDS EPM,1.19.5,,"function, unauthenticated, in, to, which, , users, a, could, allow",nan
CVE-2022-31042,"Guzzle is an open source PHP HTTP client. In affected versions the `Cookie` headers on requests are sensitive information. On making a request using the `https` scheme to a server which responds with a redirect to a URI with the `http` scheme, or on making a request to a server which responds with a redirect to a a URI to a different host, we should not forward the `Cookie` header on. Prior to this fix, only cookies that were managed by our cookie middleware would be safely removed, and any `Cookie` header manually added to the initial request would not be stripped. We now always strip it, and allow the cookie middleware to re-add any cookies that it deems should be there. Affected Guzzle 7 users should upgrade to Guzzle 7.4.4 as soon as possible. Affected users using any earlier series of Guzzle should upgrade to Guzzle 6.5.7 or 7.4.4. Users unable to upgrade may consider an alternative approach to use your own redirect middleware, rather than ours. If you do not require or expect redirects to be followed, one should simply disable redirects all together.",CWE-212->CWE-201,we should not forward the `Cookie` header on,,,forward sensitive Cookie headers,,,Guzzle,prior to 7.4.4|6.5.7,,"not, on, header, we, should, the","nan, sensitive, headers"
CVE-2022-31043,"Guzzle is an open source PHP HTTP client. In affected versions `Authorization` headers on requests are sensitive information. On making a request using the `https` scheme to a server which responds with a redirect to a URI with the `http` scheme, we should not forward the `Authorization` header on. This is much the same as to how we don't forward on the header if the host changes. Prior to this fix, `https` to `http` downgrades did not result in the `Authorization` header being removed, only changes to the host. Affected Guzzle 7 users should upgrade to Guzzle 7.4.4 as soon as possible. Affected users using any earlier series of Guzzle should upgrade to Guzzle 6.5.7 or 7.4.4. Users unable to upgrade may consider an alternative approach which would be to use their own redirect middleware. Alternately users may simply disable redirects all together if redirects are not expected or required.",CWE-212->CWE-201,we should not forward the `Authorization` header on,,,forward sensitive Authorization headers,,,Guzzle,prior to 7.4.4|6.5.7,,"not, on, header, we, should, the","nan, sensitive, headers"
CVE-2022-31069,"NestJS Proxy is a NestJS module to decorate and proxy calls. Prior to version 0.7.0, the nestjs-proxy library did not have a way to control when Authorization headers should should be forwarded for specific backend services configured by the application developer. This could have resulted in sensitive information such as OAuth bearer access tokens being inadvertently exposed to such services that should not see them. A new feature has been introduced in the patched version of nestjs-proxy that allows application developers to opt out of forwarding the Authorization headers on a per service basis using the `forwardToken` config setting. Developers are advised to review the README for this library on Github or NPM for further details on how this configuration can be applied. This issue has been fixed in version 0.7.0 of `@finastra/nestjs-proxy`. Users of `@ffdc/nestjs-proxy` are advised that this package has been deprecated and is no longer being maintained or receiving updates. Such users should update their package.json file to use `@finastra/nestjs-proxy` instead.",,did not have a way to control when Authorization headers should should be forwarded for specific backend services configured by the application developer,,,expose sensitive information such as OAuth bearer access tokens,,,NestJS Proxy,prior to 0.7.0,,"by, authorization, be, application, configured, developer, backend, a, specific, services, forwarded, did, the, control, not, have, for, headers, to, when, way, should","sensitive, information, bearer, nan, oauth, access, tokens, expose, such, as"
CVE-2022-31070,"NestJS Proxy is a NestJS module to decorate and proxy calls. Prior to version 0.7.0, the nestjs-proxy library did not have a way to block sensitive cookies (e.g. session cookies) from being forwarded to backend services configured by the application developer. This could have led to sensitive cookies being inadvertently exposed to such services that should not see them. The patched version now blocks cookies from being forwarded by default. However developers can configure an allow-list of cookie names by using the `allowedCookies` config setting. This issue has been fixed in version 0.7.0 of `@finastra/nestjs-proxy`. Users of `@ffdc/nestjs-proxy` are advised that this package has been deprecated and is no longer being maintained or receiving updates. Such users should update their package.json file to use `@finastra/nestjs-proxy` instead.",,sensitive cookies (e.g. session cookies) from being forwarded to backend services,,,expose sensitive cookies,,,NestJS Proxy,prior to 0.7.0,,"from, services, g, to, backend, forwarded, session, e, being","nan, expose"
CVE-2022-31090,"Guzzle, an extensible PHP HTTP client. `Authorization` headers on requests are sensitive information. In affected versions when using our Curl handler, it is possible to use the `CURLOPT_HTTPAUTH` option to specify an `Authorization` header. On making a request which responds with a redirect to a URI with a different origin (change in host, scheme or port), if we choose to follow it, we should remove the `CURLOPT_HTTPAUTH` option before continuing, stopping curl from appending the `Authorization` header to the new request. Affected Guzzle 7 users should upgrade to Guzzle 7.4.5 as soon as possible. Affected users using any earlier series of Guzzle should upgrade to Guzzle 6.5.8 or 7.4.5. Note that a partial fix was implemented in Guzzle 7.4.2, where a change in host would trigger removal of the curl-added Authorization header, however this earlier fix did not cover change in scheme or change in port. If you do not require or expect redirects to be followed, one should simply disable redirects all together. Alternatively, one can specify to use the Guzzle steam handler backend, rather than curl.",CWE-212->CWE-201,"`CURLOPT_HTTPAUTH` option to specify an `Authorization` header ... we should remove the `CURLOPT_HTTPAUTH` option before continuing, stopping curl from appending the `Authorization` header to the new request",,,append sensitive Authorization header to redirected requests,,,Guzzle,prior to 7.4.5|6.5.8,Curl handler,"from, continuing, curl, option, before, remove, request, appending, stopping, curlopt_httpauth, we, new, an, specify, should, the","requests, sensitive, nan, redirected, append"
CVE-2022-31095,"discourse-chat is a chat plugin for the Discourse application. Versions prior to 0.4 are vulnerable to an exposure of sensitive information, where an attacker who knows the message ID for a channel they do not have access to can view that message using the chat message lookup endpoint, primarily affecting direct message channels. There are no known workarounds for this issue, and users are advised to update the plugin.",,Chat message lookup did not check channel access,,,view messages in channels without access,,,discourse-chat,prior to 0.4,,"chat, not, lookup, check, channel, message, did","view, in, messages, nan, without, channels"
